date,city,state,url,fuel_type,average,price
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.856
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.466
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.748
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,3.05
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.872
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.459
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.791
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.103
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.179
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.425
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.734
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,3.145
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.987
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.429
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.712
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,3.13
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.983
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.421
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.702
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,3.136
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.98
